0,1,2,3,4
From Date,To Date,,Temp,RH
13-04-2022 00:00,13-04-2022 00:30,,20.6,78
13-04-2022 00:30,13-04-2022 01:00,,20.8,76.5
13-04-2022 01:00,13-04-2022 01:30,,20.75,76
13-04-2022 01:30,13-04-2022 02:00,,20.7,76.5
13-04-2022 02:00,13-04-2022 02:30,,20.7,77.5
13-04-2022 02:30,13-04-2022 03:00,,20.6,78
13-04-2022 03:00,13-04-2022 03:30,,20.3,78.5
13-04-2022 03:30,13-04-2022 04:00,17.0,21,83.5
13-04-2022 04:00,13-04-2022 04:30,17.0,20.9,84
13-04-2022 04:30,13-04-2022 05:00,17.0,21,84
13-04-2022 05:00,13-04-2022 05:30,,20.65,84
13-04-2022 05:30,13-04-2022 06:00,,20.85,83.5
13-04-2022 06:00,13-04-2022 06:30,,20.8,83
13-04-2022 06:30,13-04-2022 07:00,,20.75,82.5
13-04-2022 07:00,13-04-2022 07:30,,20.55,79.5
13-04-2022 07:30,13-04-2022 08:00,19.0,20.5,77
13-04-2022 08:00,13-04-2022 08:30,19.0,20.55,77
13-04-2022 08:30,13-04-2022 09:00,13.0,20.05,75
13-04-2022 09:00,13-04-2022 09:30,7.0,19.8,71
13-04-2022 09:30,13-04-2022 10:00,4.0,19.7,72
13-04-2022 10:00,13-04-2022 10:30,1.0,19.15,70.5
13-04-2022 10:30,13-04-2022 11:00,1.0,19.45,70.5
13-04-2022 11:00,13-04-2022 11:30,,19.35,71
13-04-2022 11:30,13-04-2022 12:00,,19.45,70.5
13-04-2022 12:00,13-04-2022 12:30,,19.75,70.5
13-04-2022 12:30,13-04-2022 13:00,,19.7,70
13-04-2022 13:00,13-04-2022 13:30,,19.8,71
13-04-2022 13:30,13-04-2022 14:00,,20.05,72.5
13-04-2022 14:00,13-04-2022 14:30,,20.2,73
13-04-2022 14:30,13-04-2022 15:00,,19.9,71
13-04-2022 15:00,13-04-2022 15:30,,19.75,70
13-04-2022 15:30,13-04-2022 16:00,,20.35,71
13-04-2022 16:00,13-04-2022 16:30,,20.15,72
13-04-2022 16:30,13-04-2022 17:00,2.0,20.2,71
13-04-2022 17:00,13-04-2022 17:30,2.0,20.4,71.5
13-04-2022 17:30,13-04-2022 18:00,2.5,20.55,73.5
13-04-2022 18:00,13-04-2022 18:30,3.0,20.7,75
13-04-2022 18:30,13-04-2022 19:00,3.0,20.75,76
13-04-2022 19:00,13-04-2022 19:30,,20.7,76
13-04-2022 19:30,13-04-2022 20:00,,20.85,76
13-04-2022 20:00,13-04-2022 20:30,,21.75,77.5
13-04-2022 20:30,13-04-2022 21:00,,20.65,78
13-04-2022 21:00,13-04-2022 21:30,,20.7,77
13-04-2022 21:30,13-04-2022 22:00,2.0,20.75,77
13-04-2022 22:00,13-04-2022 22:30,2.0,20.7,77.5
13-04-2022 22:30,13-04-2022 23:00,2.0,20.65,78
13-04-2022 23:00,13-04-2022 23:30,2.0,20.65,78
13-04-2022 23:30,14-04-2022 00:00,2.0,20.8,78
14-04-2022 00:00,14-04-2022 00:30,,20.5,78
14-04-2022 00:30,14-04-2022 01:00,,20.8,79
14-04-2022 01:00,14-04-2022 01:30,,20.7,79.5
14-04-2022 01:30,14-04-2022 02:00,,20.85,80
14-04-2022 02:00,14-04-2022 02:30,,20.75,80
14-04-2022 02:30,14-04-2022 03:00,,20.85,81.5
14-04-2022 03:00,14-04-2022 03:30,,20.35,82
14-04-2022 03:30,14-04-2022 04:00,,20.8,82
14-04-2022 04:00,14-04-2022 04:30,,20.95,82
14-04-2022 04:30,14-04-2022 05:00,6.0,21,82
14-04-2022 05:00,14-04-2022 05:30,6.0,20.75,82.5
14-04-2022 05:30,14-04-2022 06:00,7.0,21.1,83
14-04-2022 06:00,14-04-2022 06:30,8.0,20.8,83
14-04-2022 06:30,14-04-2022 07:00,10.5,20.75,80.5
14-04-2022 07:00,14-04-2022 07:30,13.0,20.6,76
14-04-2022 07:30,14-04-2022 08:00,15.5,20.65,73.5
14-04-2022 08:00,14-04-2022 08:30,18.0,20.3,71
14-04-2022 08:30,14-04-2022 09:00,12.5,20.15,68
14-04-2022 09:00,14-04-2022 09:30,7.0,20,67.5
14-04-2022 09:30,14-04-2022 10:00,7.5,19.85,66.5
14-04-2022 10:00,14-04-2022 10:30,8.0,19.75,65
14-04-2022 10:30,14-04-2022 11:00,11.5,19.25,61
14-04-2022 11:00,14-04-2022 11:30,15.0,19.25,61.5
14-04-2022 11:30,14-04-2022 12:00,9.5,18.8,65.5
14-04-2022 12:00,14-04-2022 12:30,4.0,20,66.5
14-04-2022 12:30,14-04-2022 13:00,15.0,19.8,67
14-04-2022 13:00,14-04-2022 13:30,26.0,20.85,66
14-04-2022 13:30,14-04-2022 14:00,60.5,19.2,66
14-04-2022 14:00,14-04-2022 14:30,95.0,18.85,66
14-04-2022 14:30,14-04-2022 15:00,57.0,19.55,67.5
14-04-2022 15:00,14-04-2022 15:30,19.0,19.6,68
14-04-2022 15:30,14-04-2022 16:00,10.5,19.7,66.5
14-04-2022 16:00,14-04-2022 16:30,2.0,19.9,66.5
14-04-2022 16:30,14-04-2022 17:00,2.0,19.7,67.5
14-04-2022 17:00,14-04-2022 17:30,,19.95,68.5
14-04-2022 17:30,14-04-2022 18:00,,20.4,71
14-04-2022 18:00,14-04-2022 18:30,,19.95,73.5
14-04-2022 18:30,14-04-2022 19:00,,20.4,74.5
14-04-2022 19:00,14-04-2022 19:30,,19.9,75.5
14-04-2022 19:30,14-04-2022 20:00,,20.1,77
14-04-2022 20:00,14-04-2022 20:30,,20.35,77
14-04-2022 20:30,14-04-2022 21:00,1.0,20.35,76.5
14-04-2022 21:00,14-04-2022 21:30,1.0,20.25,75.5
14-04-2022 21:30,14-04-2022 22:00,2.5,20.35,75.5
14-04-2022 22:00,14-04-2022 22:30,4.0,20.35,77
14-04-2022 22:30,14-04-2022 23:00,4.0,20.3,76.5
14-04-2022 23:00,14-04-2022 23:30,,20.25,76
14-04-2022 23:30,15-04-2022 00:00,,20.15,76
15-04-2022 00:00,15-04-2022 00:30,,20.2,76.5
15-04-2022 00:30,15-04-2022 01:00,,20.1,78.5
15-04-2022 01:00,15-04-2022 01:30,,20.35,78.5
15-04-2022 01:30,15-04-2022 02:00,,20.35,77.5
15-04-2022 02:00,15-04-2022 02:30,,20.3,77.5
15-04-2022 02:30,15-04-2022 03:00,,20.4,78
15-04-2022 03:00,15-04-2022 03:30,,20.2,78
15-04-2022 03:30,15-04-2022 04:00,,20.5,78
15-04-2022 04:00,15-04-2022 04:30,,20.4,78
15-04-2022 04:30,15-04-2022 05:00,,20.5,78.5
15-04-2022 05:00,15-04-2022 05:30,,20.4,79
15-04-2022 05:30,15-04-2022 06:00,,20.55,79
15-04-2022 06:00,15-04-2022 06:30,,20.4,79
15-04-2022 06:30,15-04-2022 07:00,,20.5,78
15-04-2022 07:00,15-04-2022 07:30,,20.25,77
15-04-2022 07:30,15-04-2022 08:00,,20.15,76
15-04-2022 08:00,15-04-2022 08:30,,19.95,74.5
15-04-2022 08:30,15-04-2022 09:00,9.0,19.9,74
15-04-2022 09:00,15-04-2022 09:30,9.0,19.75,70.5
15-04-2022 09:30,15-04-2022 10:00,9.0,19.2,67.5
15-04-2022 10:00,15-04-2022 10:30,9.0,19.5,67
15-04-2022 10:30,15-04-2022 11:00,7.5,19.25,67
15-04-2022 11:00,15-04-2022 11:30,6.0,18.65,68.5
15-04-2022 11:30,15-04-2022 12:00,7.0,18.85,69
15-04-2022 12:00,15-04-2022 12:30,8.0,18.85,69
15-04-2022 12:30,15-04-2022 13:00,13.0,19,67
15-04-2022 13:00,15-04-2022 13:30,18.0,18.95,66
15-04-2022 13:30,15-04-2022 14:00,16.0,20.35,66.5
15-04-2022 14:00,15-04-2022 14:30,14.0,18.7,67.5
15-04-2022 14:30,15-04-2022 15:00,11.5,18.4,67
15-04-2022 15:00,15-04-2022 15:30,9.0,19.7,67.5
15-04-2022 15:30,15-04-2022 16:00,7.0,20,68
15-04-2022 16:00,15-04-2022 16:30,5.0,19.65,67.5
15-04-2022 16:30,15-04-2022 17:00,3.0,19.8,69.5
15-04-2022 17:00,15-04-2022 17:30,1.0,19.9,71.5
15-04-2022 17:30,15-04-2022 18:00,2.5,20.35,73.5
15-04-2022 18:00,15-04-2022 18:30,4.0,20.25,75
15-04-2022 18:30,15-04-2022 19:00,3.5,19.7,77.5
15-04-2022 19:00,15-04-2022 19:30,3.0,20,79.5
15-04-2022 19:30,15-04-2022 20:00,3.0,20,80
15-04-2022 20:00,15-04-2022 20:30,,20.15,80
15-04-2022 20:30,15-04-2022 21:00,,20.2,80
15-04-2022 21:00,15-04-2022 21:30,,20.2,80
15-04-2022 21:30,15-04-2022 22:00,3.0,20.25,79.5
15-04-2022 22:00,15-04-2022 22:30,3.0,20.25,78.5
15-04-2022 22:30,15-04-2022 23:00,2.5,20.35,79
15-04-2022 23:00,15-04-2022 23:30,2.0,20.25,79
15-04-2022 23:30,16-04-2022 00:00,2.0,20.15,80
16-04-2022 00:00,16-04-2022 00:30,,20.15,80
16-04-2022 00:30,16-04-2022 01:00,,20.45,80
16-04-2022 01:00,16-04-2022 01:30,,20.55,80
16-04-2022 01:30,16-04-2022 02:00,,20.35,80
16-04-2022 02:00,16-04-2022 02:30,,20.45,79.5
16-04-2022 02:30,16-04-2022 03:00,,20.2,79
16-04-2022 03:00,16-04-2022 03:30,,20.05,78.5
16-04-2022 03:30,16-04-2022 04:00,,20.2,78.5
16-04-2022 04:00,16-04-2022 04:30,,20.45,79
16-04-2022 04:30,16-04-2022 05:00,,20.5,80
16-04-2022 05:00,16-04-2022 05:30,,20.35,80
16-04-2022 05:30,16-04-2022 06:00,1.0,20.4,80
16-04-2022 06:00,16-04-2022 06:30,1.0,20.35,80
16-04-2022 06:30,16-04-2022 07:00,1.0,20.25,79
16-04-2022 07:00,16-04-2022 07:30,,20.35,77.5
16-04-2022 07:30,16-04-2022 08:00,,20.4,75.5
16-04-2022 08:00,16-04-2022 08:30,,20,73.5
16-04-2022 08:30,16-04-2022 09:00,2.0,20.05,71.5
16-04-2022 09:00,16-04-2022 09:30,2.0,19.8,69
16-04-2022 09:30,16-04-2022 10:00,6.5,19.25,64.5
16-04-2022 10:00,16-04-2022 10:30,11.0,19.05,64
16-04-2022 10:30,16-04-2022 11:00,13.5,18.7,66.5
16-04-2022 11:00,16-04-2022 11:30,16.0,18.75,66
16-04-2022 11:30,16-04-2022 12:00,19.0,20.7,68
16-04-2022 12:00,16-04-2022 12:30,22.0,23.55,66.5
16-04-2022 12:30,16-04-2022 13:00,23.5,19.3,65.5
16-04-2022 13:00,16-04-2022 13:30,25.0,18.45,67.5
16-04-2022 13:30,16-04-2022 14:00,18.0,18.35,68.5
