0,1,2,3,4
From Date,To Date,,Temp,RH
13-04-2022 00:00,13-04-2022 00:30,119.0,,73.7
13-04-2022 00:30,13-04-2022 01:00,120.0,,75.75
13-04-2022 01:00,13-04-2022 01:30,121.0,,75.95
13-04-2022 01:30,13-04-2022 02:00,121.0,,75.65
13-04-2022 02:00,13-04-2022 02:30,121.0,,74
13-04-2022 02:30,13-04-2022 03:00,116.0,,72.05
13-04-2022 03:00,13-04-2022 03:30,111.0,,71.5
13-04-2022 03:30,13-04-2022 04:00,115.0,,72.15
13-04-2022 04:00,13-04-2022 04:30,119.0,,77.4
13-04-2022 04:30,13-04-2022 05:00,123.0,,79.45
13-04-2022 05:00,13-04-2022 05:30,127.0,,78.7
13-04-2022 05:30,13-04-2022 06:00,128.5,,82.4
13-04-2022 06:00,13-04-2022 06:30,130.0,,83.65
13-04-2022 06:30,13-04-2022 07:00,157.0,,83.1
13-04-2022 07:00,13-04-2022 07:30,184.0,,79.2
13-04-2022 07:30,13-04-2022 08:00,217.0,,72.1
13-04-2022 08:00,13-04-2022 08:30,250.0,,64.6
13-04-2022 08:30,13-04-2022 09:00,239.0,,57.25
13-04-2022 09:00,13-04-2022 09:30,228.0,,50.95
13-04-2022 09:30,13-04-2022 10:00,200.5,,42.7
13-04-2022 10:00,13-04-2022 10:30,173.0,,38.75
13-04-2022 10:30,13-04-2022 11:00,118.0,,38.6
13-04-2022 11:00,13-04-2022 11:30,63.0,,38.55
13-04-2022 11:30,13-04-2022 12:00,61.0,,38.15
13-04-2022 12:00,13-04-2022 12:30,59.0,,37.8
13-04-2022 12:30,13-04-2022 13:00,52.0,,35.95
13-04-2022 13:00,13-04-2022 13:30,45.0,,35.15
13-04-2022 13:30,13-04-2022 14:00,56.5,,34.2
13-04-2022 14:00,13-04-2022 14:30,68.0,,34.3
13-04-2022 14:30,13-04-2022 15:00,53.0,,34.3
13-04-2022 15:00,13-04-2022 15:30,38.0,,34.25
13-04-2022 15:30,13-04-2022 16:00,22.0,,34.25
13-04-2022 16:00,13-04-2022 16:30,6.0,,35.6
