0,1,2,3
From Date,To Date,,RH
13-04-2022 00:00,13-04-2022 00:30,42.0,99.9
13-04-2022 00:30,13-04-2022 01:00,66.0,99.9
13-04-2022 01:00,13-04-2022 01:30,,
13-04-2022 01:30,13-04-2022 02:00,,
13-04-2022 02:00,13-04-2022 02:30,,
13-04-2022 02:30,13-04-2022 03:00,,
13-04-2022 03:00,13-04-2022 03:30,,
13-04-2022 03:30,13-04-2022 04:00,91.0,99.9
13-04-2022 04:00,13-04-2022 04:30,91.0,99.9
13-04-2022 04:30,13-04-2022 05:00,,
13-04-2022 05:00,13-04-2022 05:30,87.0,99.9
13-04-2022 05:30,13-04-2022 06:00,,
13-04-2022 06:00,13-04-2022 06:30,,
13-04-2022 06:30,13-04-2022 07:00,50.0,99.9
13-04-2022 07:00,13-04-2022 07:30,,
13-04-2022 07:30,13-04-2022 08:00,,
13-04-2022 08:00,13-04-2022 08:30,,
13-04-2022 08:30,13-04-2022 09:00,,
13-04-2022 09:00,13-04-2022 09:30,,
13-04-2022 09:30,13-04-2022 10:00,,
13-04-2022 10:00,13-04-2022 10:30,,
13-04-2022 10:30,13-04-2022 11:00,95.0,52.9
13-04-2022 11:00,13-04-2022 11:30,90.52,49.45
13-04-2022 11:30,13-04-2022 12:00,64.0,48.17
13-04-2022 12:00,13-04-2022 12:30,64.0,50.7
13-04-2022 12:30,13-04-2022 13:00,77.0,50.7
13-04-2022 13:00,13-04-2022 13:30,77.0,46.72
13-04-2022 13:30,13-04-2022 14:00,63.0,39.77
13-04-2022 14:00,13-04-2022 14:30,61.7,62.24
13-04-2022 14:30,13-04-2022 15:00,,
13-04-2022 15:00,13-04-2022 15:30,54.0,71.08
13-04-2022 15:30,13-04-2022 16:00,65.0,63.74
13-04-2022 16:00,13-04-2022 16:30,,
13-04-2022 16:30,13-04-2022 17:00,47.0,57.16
13-04-2022 17:00,13-04-2022 17:30,45.55,61.07
13-04-2022 17:30,13-04-2022 18:00,37.0,64.54
13-04-2022 18:00,13-04-2022 18:30,37.0,65.89
13-04-2022 18:30,13-04-2022 19:00,37.0,70.77
13-04-2022 19:00,13-04-2022 19:30,38.45,79.44
13-04-2022 19:30,13-04-2022 20:00,47.0,86.21
13-04-2022 20:00,13-04-2022 20:30,45.84,90.53
13-04-2022 20:30,13-04-2022 21:00,43.0,95.48
13-04-2022 21:00,13-04-2022 21:30,44.8,95.84
13-04-2022 21:30,13-04-2022 22:00,55.0,93.4
13-04-2022 22:00,13-04-2022 22:30,55.87,93.09
13-04-2022 22:30,13-04-2022 23:00,58.0,97.52
13-04-2022 23:00,13-04-2022 23:30,63.78,99.4
13-04-2022 23:30,14-04-2022 00:00,98.0,99.9
14-04-2022 00:00,14-04-2022 00:30,99.53,99.9
14-04-2022 00:30,14-04-2022 01:00,109.0,99.9
14-04-2022 01:00,14-04-2022 01:30,143.8,99.9
14-04-2022 01:30,14-04-2022 02:00,225.0,99.9
14-04-2022 02:00,14-04-2022 02:30,217.95,99.9
14-04-2022 02:30,14-04-2022 03:00,178.0,99.9
14-04-2022 03:00,14-04-2022 03:30,166.01,99.9
14-04-2022 03:30,14-04-2022 04:00,95.0,99.9
14-04-2022 04:00,14-04-2022 04:30,89.45,99.9
14-04-2022 04:30,14-04-2022 05:00,58.0,99.9
14-04-2022 05:00,14-04-2022 05:30,60.1,99.9
14-04-2022 05:30,14-04-2022 06:00,72.0,99.9
14-04-2022 06:00,14-04-2022 06:30,77.4,99.9
14-04-2022 06:30,14-04-2022 07:00,108.0,99.9
14-04-2022 07:00,14-04-2022 07:30,110.6,99.9
14-04-2022 07:30,14-04-2022 08:00,126.0,99.9
14-04-2022 08:00,14-04-2022 08:30,114.16,99.9
14-04-2022 08:30,14-04-2022 09:00,85.0,99.9
14-04-2022 09:00,14-04-2022 09:30,79.37,99.9
14-04-2022 09:30,14-04-2022 10:00,46.0,99.9
14-04-2022 10:00,14-04-2022 10:30,45.56,99.9
14-04-2022 10:30,14-04-2022 11:00,43.0,95.37
14-04-2022 11:00,14-04-2022 11:30,43.86,87.46
14-04-2022 11:30,14-04-2022 12:00,49.0,85.35
14-04-2022 12:00,14-04-2022 12:30,48.71,81.43
14-04-2022 12:30,14-04-2022 13:00,,87.13
14-04-2022 13:00,14-04-2022 13:30,47.4,90.52
14-04-2022 13:30,14-04-2022 14:00,44.0,96.06
14-04-2022 14:00,14-04-2022 14:30,43.86,99.9
14-04-2022 14:30,14-04-2022 15:00,43.0,99.89
14-04-2022 15:00,14-04-2022 15:30,43.14,99.9
14-04-2022 15:30,14-04-2022 16:00,44.0,99.9
14-04-2022 16:00,14-04-2022 16:30,44.29,99.9
14-04-2022 16:30,14-04-2022 17:00,46.0,99.9
14-04-2022 17:00,14-04-2022 17:30,44.84,99.9
14-04-2022 17:30,14-04-2022 18:00,,
14-04-2022 18:00,14-04-2022 18:30,,
14-04-2022 18:30,14-04-2022 19:00,,
14-04-2022 19:00,14-04-2022 19:30,,
14-04-2022 19:30,14-04-2022 20:00,,
14-04-2022 20:00,14-04-2022 20:30,,
14-04-2022 20:30,14-04-2022 21:00,,
14-04-2022 21:00,14-04-2022 21:30,,
14-04-2022 21:30,14-04-2022 22:00,,
14-04-2022 22:00,14-04-2022 22:30,,
14-04-2022 22:30,14-04-2022 23:00,,
14-04-2022 23:00,14-04-2022 23:30,,
14-04-2022 23:30,15-04-2022 00:00,,
15-04-2022 00:00,15-04-2022 00:30,,
15-04-2022 00:30,15-04-2022 01:00,,
15-04-2022 01:00,15-04-2022 01:30,,
15-04-2022 01:30,15-04-2022 02:00,,
15-04-2022 02:00,15-04-2022 02:30,,
15-04-2022 02:30,15-04-2022 03:00,,
15-04-2022 03:00,15-04-2022 03:30,,
15-04-2022 03:30,15-04-2022 04:00,,
15-04-2022 04:00,15-04-2022 04:30,,
15-04-2022 04:30,15-04-2022 05:00,,
15-04-2022 05:00,15-04-2022 05:30,,
15-04-2022 05:30,15-04-2022 06:00,,
15-04-2022 06:00,15-04-2022 06:30,,
15-04-2022 06:30,15-04-2022 07:00,,
15-04-2022 07:00,15-04-2022 07:30,,
15-04-2022 07:30,15-04-2022 08:00,,
15-04-2022 08:00,15-04-2022 08:30,,
15-04-2022 08:30,15-04-2022 09:00,,
15-04-2022 09:00,15-04-2022 09:30,,
15-04-2022 09:30,15-04-2022 10:00,,
15-04-2022 10:00,15-04-2022 10:30,,
